language,f_a,f_b,f_c,f_d,f_e,f_f,f_g,f_h,f_i,f_j,f_k,f_l,f_m,f_n,f_ñ,f_o,f_p,f_q,f_r,f_s,f_t,f_u,f_v,f_w,f_x,f_y,f_z,f_á,f_é,f_í,f_ó,f_ú,f_ü
Spanish,0.0808080808080808,0.0151515151515151,0.0606060606060606,0.0404040404040404,0.101010101010101,0.005050505050505,0.005050505050505,0.0,0.0757575757575757,0.005050505050505,0.0,0.0454545454545454,0.0252525252525252,0.0353535353535353,0.0,0.0909090909090909,0.0606060606060606,0.005050505050505,0.0505050505050505,0.0707070707070707,0.0252525252525252,0.0101010101010101,0.005050505050505,0.0,0.0,0.0,0.0,0.005050505050505,0.005050505050505,0.0252525252525252,0.005050505050505,0.0,0.0
English,0.0289855072463768,0.0289855072463768,0.036231884057971,0.0217391304347826,0.1231884057971014,0.0289855072463768,0.0289855072463768,0.0144927536231884,0.072463768115942,0.0,0.0144927536231884,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.0,0.0652173913043478,0.0144927536231884,0.0,0.0942028985507246,0.0507246376811594,0.0507246376811594,0.036231884057971,0.0289855072463768,0.0072463768115942,0.0072463768115942,0.0,0.0072463768115942,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0829986613119143,0.0160642570281124,0.0254350736278447,0.0281124497991967,0.0990629183400267,0.0214190093708166,0.0187416331994645,0.0468540829986613,0.0709504685408299,0.0040160642570281,0.002677376171352,0.0227576974564926,0.0187416331994645,0.0562248995983935,0.0,0.0548862115127175,0.0133868808567603,0.0,0.0642570281124498,0.0495314591700133,0.0776439089692101,0.0133868808567603,0.0147255689424364,0.0187416331994645,0.001338688085676,0.0093708165997322,0.001338688085676,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.0865384615384615,0.0096153846153846,0.0576923076923076,0.0576923076923076,0.0769230769230769,0.0096153846153846,0.016025641025641,0.0096153846153846,0.0576923076923076,0.0032051282051282,0.0,0.0352564102564102,0.0,0.0641025641025641,0.0032051282051282,0.0929487179487179,0.0064102564102564,0.0032051282051282,0.0608974358974358,0.0641025641025641,0.0512820512820512,0.0384615384615384,0.0064102564102564,0.0,0.0,0.0064102564102564,0.0032051282051282,0.0032051282051282,0.0,0.0032051282051282,0.0064102564102564,0.0,0.0
Spanish,0.1172161172161172,0.0109890109890109,0.0402930402930402,0.0293040293040293,0.1245421245421245,0.0,0.0329670329670329,0.0183150183150183,0.0329670329670329,0.0,0.0036630036630036,0.0549450549450549,0.0109890109890109,0.0586080586080586,0.0,0.0622710622710622,0.0109890109890109,0.0073260073260073,0.0805860805860805,0.0293040293040293,0.0476190476190476,0.0256410256410256,0.0,0.0,0.0,0.0073260073260073,0.0036630036630036,0.0,0.0,0.0036630036630036,0.0,0.0,0.0
Spanish,0.0965346534653465,0.0049504950495049,0.0272277227722772,0.0519801980198019,0.0792079207920792,0.0024752475247524,0.0148514851485148,0.0074257425742574,0.0618811881188118,0.0049504950495049,0.0,0.0297029702970297,0.0247524752475247,0.0643564356435643,0.0,0.099009900990099,0.0074257425742574,0.0049504950495049,0.0569306930693069,0.0965346534653465,0.047029702970297,0.0173267326732673,0.0099009900990099,0.0,0.0024752475247524,0.0049504950495049,0.0,0.0024752475247524,0.0,0.0123762376237623,0.0,0.0024752475247524,0.0
Spanish,0.1012145748987854,0.0121457489878542,0.0384615384615384,0.068825910931174,0.1012145748987854,0.0080971659919028,0.0121457489878542,0.0040485829959514,0.0526315789473684,0.0060728744939271,0.0020242914979757,0.034412955465587,0.0141700404858299,0.0404858299595141,0.0020242914979757,0.0607287449392712,0.0263157894736842,0.0080971659919028,0.0607287449392712,0.0526315789473684,0.0364372469635627,0.0445344129554655,0.0141700404858299,0.0,0.0020242914979757,0.0040485829959514,0.0040485829959514,0.0040485829959514,0.0020242914979757,0.0,0.0060728744939271,0.0,0.0
English,0.0913978494623656,0.0053763440860215,0.0483870967741935,0.043010752688172,0.064516129032258,0.0268817204301075,0.021505376344086,0.043010752688172,0.0698924731182795,0.0,0.0,0.043010752688172,0.0161290322580645,0.0806451612903225,0.0,0.064516129032258,0.0161290322580645,0.0,0.0376344086021505,0.0161290322580645,0.086021505376344,0.0161290322580645,0.0161290322580645,0.010752688172043,0.0,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.1035598705501618,0.0032362459546925,0.0194174757281553,0.0420711974110032,0.058252427184466,0.0129449838187702,0.0032362459546925,0.0550161812297734,0.0906148867313915,0.0,0.0,0.0388349514563106,0.0258899676375404,0.0711974110032362,0.0,0.0388349514563106,0.0258899676375404,0.0129449838187702,0.0420711974110032,0.0453074433656957,0.0647249190938511,0.0194174757281553,0.0,0.0194174757281553,0.0,0.0129449838187702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.098876404494382,0.0112359550561797,0.0269662921348314,0.0404494382022471,0.1123595505617977,0.0044943820224719,0.0179775280898876,0.0067415730337078,0.047191011235955,0.0067415730337078,0.0,0.0539325842696629,0.0179775280898876,0.0808988764044943,0.0044943820224719,0.0561797752808988,0.0179775280898876,0.0,0.0584269662921348,0.0606741573033707,0.0292134831460674,0.0224719101123595,0.0112359550561797,0.0,0.0022471910112359,0.0067415730337078,0.0067415730337078,0.0044943820224719,0.0044943820224719,0.0,0.0179775280898876,0.0022471910112359,0.0022471910112359
